,Demanda,Date
0,135497872.81,2015-01-01
1,157184369.2,2015-01-02
2,157588426.45,2015-01-03
3,148230033.41,2015-01-04
4,169400529.85,2015-01-05
5,172672920.35,2015-01-06
6,174365674.47,2015-01-07
7,174756240.01,2015-01-08
8,175853733.81,2015-01-09
9,168105443.22,2015-01-10
10,152259208.85,2015-01-11
11,155328081.47,2015-01-12
12,177572208.25,2015-01-13
13,180868418.47,2015-01-14
14,180611289.47,2015-01-15
15,182462964.48,2015-01-16
16,171703166.92,2015-01-17
17,153875311.54,2015-01-18
18,179068655.07,2015-01-19
19,181119941.92,2015-01-20
20,180734794.51,2015-01-21
21,179590226.58,2015-01-22
22,180120311.32,2015-01-23
23,171656237.26,2015-01-24
24,155457530.42,2015-01-25
25,181631885.41,2015-01-26
26,185036978.04,2015-01-27
27,184190405.73,2015-01-28
28,184650584.51,2015-01-29
29,185044072.05,2015-01-30
30,173018578.91,2015-01-31
0,154861964.34,2015-02-01
1,180603273.47,2015-02-02
2,183139670.52,2015-02-03
3,186048383.17,2015-02-04
4,187310638.98,2015-02-05
5,186336308.5,2015-02-06
6,174480918.23,2015-02-07
7,154603590.01,2015-02-08
8,179343592.85,2015-02-09
9,182971633.71,2015-02-10
10,183151744.38,2015-02-11
11,183639378.94,2015-02-12
12,186982101.99,2015-02-13
13,175975770.87,2015-02-14
14,157288718.01,2015-02-15
15,183426052.11,2015-02-16
16,186425508.07,2015-02-17
17,189117359.71,2015-02-18
18,188217535.75,2015-02-19
19,187828056.37,2015-02-20
20,178402643.83,2015-02-21
21,161124161.64,2015-02-22
22,185674086.08,2015-02-23
23,188684117.34,2015-02-24
24,188195393.64,2015-02-25
25,187336904.56,2015-02-26
26,188530281.94,2015-02-27
27,178613932.36,2015-02-28
0,158212666.12,2015-03-01
1,182514903.4,2015-03-02
2,186547724.25,2015-03-03
3,187348366.47,2015-03-04
4,188029002.17,2015-03-05
5,186590594.84,2015-03-06
6,175496611.98,2015-03-07
7,157438093.41,2015-03-08
8,185107712.43,2015-03-09
9,188202573.1,2015-03-10
10,190684586.42,2015-03-11
11,190652307.69,2015-03-12
12,189263846.99,2015-03-13
13,178038241.79,2015-03-14
14,158588266.42,2015-03-15
15,182815620.23,2015-03-16
16,184337085.74,2015-03-17
17,180960635.19,2015-03-18
18,179712202.09,2015-03-19
19,179324152.61,2015-03-20
20,171181692.73,2015-03-21
21,153687955.27,2015-03-22
22,158230341.14,2015-03-23
23,182774757.51,2015-03-24
24,184836940.36,2015-03-25
25,186689757.27,2015-03-26
26,189296030.08,2015-03-27
27,180053186.63,2015-03-28
28,158023222.28,2015-03-29
29,178171046.82,2015-03-30
30,180567280.25,2015-03-31
0,176783930.69,2015-04-01
1,150698670.05,2015-04-02
2,140446568.84,2015-04-03
3,154013446.2,2015-04-04
4,150685496.37,2015-04-05
5,180245410.42,2015-04-06
6,183822859.3,2015-04-07
7,183433435.35,2015-04-08
8,185114471.56,2015-04-09
9,188419974.16,2015-04-10
10,176395420.32,2015-04-11
11,158300648.59,2015-04-12
12,183119081.54,2015-04-13
13,185944777.08,2015-04-14
14,185495583.3,2015-04-15
15,182753991.65,2015-04-16
16,180522407.5,2015-04-17
17,172315966.29,2015-04-18
18,152522547.56,2015-04-19
19,178988282.76,2015-04-20
20,181494282.41,2015-04-21
21,185257552.36,2015-04-22
22,185579899.06,2015-04-23
23,187458000.42,2015-04-24
24,176857411.08,2015-04-25
25,159248392.58,2015-04-26
26,186982888.14,2015-04-27
27,189623159.48,2015-04-28
28,189273733.55,2015-04-29
29,186267835.53,2015-04-30
0,162125058.97,2015-05-01
1,168781386.61,2015-05-02
2,157909240.09,2015-05-03
3,184964336.09,2015-05-04
4,191179568.8,2015-05-05
5,191955217.69,2015-05-06
6,192618861.67,2015-05-07
7,192735609.97,2015-05-08
8,182886347.16,2015-05-09
9,162459148.71,2015-05-10
10,192658287.11,2015-05-11
11,197408270.14,2015-05-12
12,196449898.04,2015-05-13
13,193925344.33,2015-05-14
14,190142179.45,2015-05-15
15,179462898.38,2015-05-16
16,157344589.84,2015-05-17
17,161876120.91,2015-05-18
18,186395637.81,2015-05-19
19,190493819.97,2015-05-20
20,189949406.63,2015-05-21
21,188744284.62,2015-05-22
22,180713308.3,2015-05-23
23,163367354.02,2015-05-24
24,184923561.51,2015-05-25
25,189572792.93,2015-05-26
26,189432053.92,2015-05-27
27,186277054.59,2015-05-28
28,184239424.09,2015-05-29
29,174094792.01,2015-05-30
30,157817601.38,2015-05-31
0,183717835.23,2015-06-01
1,185733191.83,2015-06-02
2,187823749.42,2015-06-03
3,190011277.04,2015-06-04
4,187955223.35,2015-06-05
5,179042031.4,2015-06-06
6,157367973.59,2015-06-07
7,158320451.91,2015-06-08
8,181601731.0,2015-06-09
9,185381418.3,2015-06-10
10,186852646.06,2015-06-11
11,190108345.27,2015-06-12
12,179411006.35,2015-06-13
13,159995739.64,2015-06-14
14,162173484.34,2015-06-15
15,188188427.73,2015-06-16
16,191202041.66,2015-06-17
17,192508380.17,2015-06-18
18,192749874.57,2015-06-19
19,181834448.27,2015-06-20
20,161933841.16,2015-06-21
21,186487586.72,2015-06-22
22,189497249.25,2015-06-23
23,191113753.55,2015-06-24
24,191333447.27,2015-06-25
25,190387998.43,2015-06-26
26,178442388.63,2015-06-27
27,157723363.73,2015-06-28
28,160928487.33,2015-06-29
29,184098146.65,2015-06-30
0,188125395.41,2015-07-01
1,188377110.11,2015-07-02
2,189924332.18,2015-07-03
3,181132661.29,2015-07-04
4,161771544.21,2015-07-05
5,185495769.72,2015-07-06
6,186304445.45,2015-07-07
7,187790966.5,2015-07-08
8,190041877.53,2015-07-09
9,190526824.23,2015-07-10
10,180965586.88,2015-07-11
11,162308096.62,2015-07-12
12,188659894.75,2015-07-13
13,191246924.35,2015-07-14
14,188193662.16,2015-07-15
15,188318074.72,2015-07-16
16,189080883.72,2015-07-17
17,177031082.12,2015-07-18
18,156534275.87,2015-07-19
