,Values_Type,Date,Generacion
0,COGENERADOR,2015-01-01,458426.74
1,COGENERADOR,2015-01-02,607510.1599999999
2,COGENERADOR,2015-01-03,896043.2
3,COGENERADOR,2015-01-04,1233545.7499999998
4,COGENERADOR,2015-01-05,1236207.68
5,COGENERADOR,2015-01-06,1447151.5899999999
6,COGENERADOR,2015-01-07,1441258.14
7,COGENERADOR,2015-01-08,1433437.9700000002
8,COGENERADOR,2015-01-09,1388512.59
9,COGENERADOR,2015-01-10,1214181.76
10,COGENERADOR,2015-01-11,1143247.3100000003
11,COGENERADOR,2015-01-12,1119556.4
12,COGENERADOR,2015-01-13,914197.78
13,COGENERADOR,2015-01-14,1095127.51
14,COGENERADOR,2015-01-15,1021534.9600000001
15,COGENERADOR,2015-01-16,1120500.5399999998
16,COGENERADOR,2015-01-17,1101013.5
17,COGENERADOR,2015-01-18,1098251.24
18,COGENERADOR,2015-01-19,1144187.14
19,COGENERADOR,2015-01-20,1100522.7700000003
20,COGENERADOR,2015-01-21,1518640.8
21,COGENERADOR,2015-01-22,1504855.39
22,COGENERADOR,2015-01-23,1466082.38
23,COGENERADOR,2015-01-24,1440590.2899999998
24,COGENERADOR,2015-01-25,1322444.8800000001
25,COGENERADOR,2015-01-26,1289090.16
26,COGENERADOR,2015-01-27,1467669.84
27,COGENERADOR,2015-01-28,1448761.13
28,COGENERADOR,2015-01-29,1423143.09
29,COGENERADOR,2015-01-30,1431697.6400000001
30,COGENERADOR,2015-01-31,1407896.3
31,COGENERADOR,2015-02-01,1391444.93
32,COGENERADOR,2015-02-02,1391059.74
33,COGENERADOR,2015-02-03,1327915.5899999999
34,COGENERADOR,2015-02-04,1347256.81
35,COGENERADOR,2015-02-05,1321620.89
36,COGENERADOR,2015-02-06,1236231.6400000001
37,COGENERADOR,2015-02-07,1318374.04
38,COGENERADOR,2015-02-08,1390746.7100000002
39,COGENERADOR,2015-02-09,1334355.66
40,COGENERADOR,2015-02-10,1284140.7599999998
41,COGENERADOR,2015-02-11,1325322.05
42,COGENERADOR,2015-02-12,1394793.47
43,COGENERADOR,2015-02-13,1412148.97
44,COGENERADOR,2015-02-14,1366075.9799999997
45,COGENERADOR,2015-02-15,1363447.8099999998
46,COGENERADOR,2015-02-16,1345789.19
47,COGENERADOR,2015-02-17,1418279.94
48,COGENERADOR,2015-02-18,1388350.24
49,COGENERADOR,2015-02-19,1342621.69
50,COGENERADOR,2015-02-20,1331349.56
51,COGENERADOR,2015-02-21,1392191.7999999998
52,COGENERADOR,2015-02-22,1446221.53
53,COGENERADOR,2015-02-23,1225800.56
54,COGENERADOR,2015-02-24,1377948.16
55,COGENERADOR,2015-02-25,1390738.25
56,COGENERADOR,2015-02-26,1406669.52
57,COGENERADOR,2015-02-27,1384286.4000000001
58,COGENERADOR,2015-02-28,1446810.11
59,COGENERADOR,2015-03-01,1395572.7199999997
60,COGENERADOR,2015-03-02,1464920.51
61,COGENERADOR,2015-03-03,1417784.0800000003
62,COGENERADOR,2015-03-04,1490238.41
63,COGENERADOR,2015-03-05,1378325.88
64,COGENERADOR,2015-03-06,1425768.67
65,COGENERADOR,2015-03-07,1529699.76
66,COGENERADOR,2015-03-08,1454486.02
67,COGENERADOR,2015-03-09,1416325.52
68,COGENERADOR,2015-03-10,1512052.03
69,COGENERADOR,2015-03-11,1409515.8800000001
70,COGENERADOR,2015-03-12,1101103.4799999997
71,COGENERADOR,2015-03-13,1284757.99
72,COGENERADOR,2015-03-14,1519858.0599999998
73,COGENERADOR,2015-03-15,1378971.66
74,COGENERADOR,2015-03-16,1330874.98
75,COGENERADOR,2015-03-17,1423858.48
76,COGENERADOR,2015-03-18,1457473.24
77,COGENERADOR,2015-03-19,1312491.94
78,COGENERADOR,2015-03-20,1400885.64
79,COGENERADOR,2015-03-21,1491922.46
80,COGENERADOR,2015-03-22,1488979.06
81,COGENERADOR,2015-03-23,1497310.0999999999
82,COGENERADOR,2015-03-24,1323312.3599999999
83,COGENERADOR,2015-03-25,1120230.02
84,COGENERADOR,2015-03-26,1073043.23
85,COGENERADOR,2015-03-27,1034228.77
86,COGENERADOR,2015-03-28,1082607.7500000002
87,COGENERADOR,2015-03-29,1136525.98
88,COGENERADOR,2015-03-30,993649.69
89,COGENERADOR,2015-03-31,1107850.9
90,COGENERADOR,2015-04-01,1046018.32
91,COGENERADOR,2015-04-02,1092425.91
92,COGENERADOR,2015-04-03,1355510.14
93,COGENERADOR,2015-04-04,1364267.15
94,COGENERADOR,2015-04-05,1352061.85
95,COGENERADOR,2015-04-06,1361891.19
96,COGENERADOR,2015-04-07,1550496.18
97,COGENERADOR,2015-04-08,1352389.3499999999
98,COGENERADOR,2015-04-09,1098115.81
99,COGENERADOR,2015-04-10,1337381.7600000002
100,COGENERADOR,2015-04-11,1486257.42
101,COGENERADOR,2015-04-12,1578787.7
102,COGENERADOR,2015-04-13,1448732.86
103,COGENERADOR,2015-04-14,1409000.19
104,COGENERADOR,2015-04-15,1353591.4900000002
105,COGENERADOR,2015-04-16,1420742.28
106,COGENERADOR,2015-04-17,1405196.99
107,COGENERADOR,2015-04-18,1457990.95
108,COGENERADOR,2015-04-19,1474743.3299999998
109,COGENERADOR,2015-04-20,1399881.6400000001
110,COGENERADOR,2015-04-21,1394648.3599999999
111,COGENERADOR,2015-04-22,1446947.48
112,COGENERADOR,2015-04-23,1434325.96
113,COGENERADOR,2015-04-24,1487604.39
114,COGENERADOR,2015-04-25,1554799.21
115,COGENERADOR,2015-04-26,1566845.25
116,COGENERADOR,2015-04-27,1533822.21
117,COGENERADOR,2015-04-28,1520775.76
118,COGENERADOR,2015-04-29,1604794.34
119,COGENERADOR,2015-04-30,1405402.5
120,COGENERADOR,2015-05-01,1407271.42
121,COGENERADOR,2015-05-02,1258277.22
122,COGENERADOR,2015-05-03,968460.0099999999
123,COGENERADOR,2015-05-04,899884.84
124,COGENERADOR,2015-05-05,850503.5599999999
125,COGENERADOR,2015-05-06,804461.7799999999
126,COGENERADOR,2015-05-07,807980.68
127,COGENERADOR,2015-05-08,810131.2799999999
128,COGENERADOR,2015-05-09,839694.2799999999
129,COGENERADOR,2015-05-10,816425.4500000001
130,COGENERADOR,2015-05-11,840033.2000000001
131,COGENERADOR,2015-05-12,843599.7899999999
132,COGENERADOR,2015-05-13,866192.79
133,COGENERADOR,2015-05-14,998724.76
134,COGENERADOR,2015-05-15,1331421.11
135,COGENERADOR,2015-05-16,1471523.39
136,COGENERADOR,2015-05-17,1432087.18
137,COGENERADOR,2015-05-18,1279850.7600000002
138,COGENERADOR,2015-05-19,1217166.03
139,COGENERADOR,2015-05-20,1245084.5
140,COGENERADOR,2015-05-21,1196948.4800000002
141,COGENERADOR,2015-05-22,1475380.1
